vocabulary,term_id,term,label,parent,definition,ontology_version
receiver_role,TERM:RECEIVER_ROLE:PREY,prey,Prey,,,1.1
receiver_role,TERM:RECEIVER_ROLE:POLLINATOR,pollinator,Pollinator,,,1.1
receiver_role,TERM:RECEIVER_ROLE:MATE,mate,Mate,,,1.1
receiver_role,TERM:RECEIVER_ROLE:HOST,host,Host,,,1.1
receiver_role,TERM:RECEIVER_ROLE:PARASITE,parasite,Parasite,,,1.1
receiver_role,TERM:RECEIVER_ROLE:COMPETITOR,competitor,Competitor,,,1.1
receiver_role,TERM:RECEIVER_ROLE:HERBIVORE,herbivore,Herbivore,,,1.1
receiver_role,TERM:RECEIVER_ROLE:SOCIAL_PARTNER,social_partner,Social partner,,,1.1
receiver_role,TERM:RECEIVER_ROLE:UNKNOWN,unknown,Unknown,,,1.1
receiver_role,TERM:RECEIVER_ROLE:OTHER,other,Other,,,1.1
interaction_status,TERM:INTERACTION_STATUS:UNDEFINED,,,,,1.1
interaction_status,TERM:INTERACTION_STATUS:UNDEFINED,,,,,1.1
interaction_status,TERM:INTERACTION_STATUS:UNDEFINED,,,,,1.1
interaction_status,TERM:INTERACTION_STATUS:UNDEFINED,,,,,1.1
interaction_status,TERM:INTERACTION_STATUS:UNDEFINED,,,,,1.1
interaction_status,TERM:INTERACTION_STATUS:UNDEFINED,,,,,1.1
interaction_status,TERM:INTERACTION_STATUS:UNDEFINED,,,,,1.1
interaction_status,TERM:INTERACTION_STATUS:UNDEFINED,,,,,1.1
knowledge_status,TERM:KNOWLEDGE_STATUS:UNDEFINED,,,,,1.1
knowledge_status,TERM:KNOWLEDGE_STATUS:UNDEFINED,,,,,1.1
knowledge_status,TERM:KNOWLEDGE_STATUS:UNDEFINED,,,,,1.1
evidence_grade,TERM:EVIDENCE_GRADE:UNDEFINED,,,,,1.1
evidence_grade,TERM:EVIDENCE_GRADE:UNDEFINED,,,,,1.1
evidence_grade,TERM:EVIDENCE_GRADE:UNDEFINED,,,,,1.1
evidence_grade,TERM:EVIDENCE_GRADE:UNDEFINED,,,,,1.1
evidence_grade,TERM:EVIDENCE_GRADE:UNDEFINED,,,,,1.1
claim_role,TERM:CLAIM_ROLE:MIMIC_RESEMBLANCE,mimic-resemblance,Mimic resemblance,,,1.1
claim_role,TERM:CLAIM_ROLE:MODEL_IDENTITY,model-identity,Model identity,,,1.1
claim_role,TERM:CLAIM_ROLE:RECEIVER_RESPONSE,receiver-response,Receiver response,,,1.1
claim_role,TERM:CLAIM_ROLE:MECHANISM,mechanism,Mechanism,,,1.1
claim_role,TERM:CLAIM_ROLE:DISTRIBUTION,distribution,Distribution / sympatry,,,1.1
claim_role,TERM:CLAIM_ROLE:TAXONOMY,taxonomy,Taxonomy,,,1.1
entity_type,TERM:ENTITY_TYPE:TAXON,taxon,Taxon (standardized name usage),,,1.1
entity_type,TERM:ENTITY_TYPE:ORGANISM,organism,Organism (individual or life-form),,,1.1
entity_type,TERM:ENTITY_TYPE:SEX,sex,Sex-specific form,,,1.1
entity_type,TERM:ENTITY_TYPE:LIFE_STAGE,life_stage,"Life stage (egg, larva, nymph, adult…)",,,1.1
entity_type,TERM:ENTITY_TYPE:ANATOMICAL_STRUCTURE,anatomical_structure,Anatomical structure,,,1.1
entity_type,TERM:ENTITY_TYPE:SIGNAL,signal,"Signal (colour patch, pheromone, flash pattern…)",,,1.1
entity_type,TERM:ENTITY_TYPE:ENVIRONMENTAL_OBJECT,environmental_object,"Environmental object (bird dropping, twig, leaf…)",,,1.1
entity_type,TERM:ENTITY_TYPE:BIOLOGICAL_MATERIAL,biological_material,"Biological material (faeces, silk, wax…)",,,1.1
entity_type,TERM:ENTITY_TYPE:FUNCTIONAL_CLASS,functional_class,Functional class (descriptive model class),,,1.1
entity_type,TERM:ENTITY_TYPE:UNRESOLVED,unresolved,Unresolved,,,1.1
evidence_dimension,TERM:EVIDENCE_DIMENSION:RESEMBLANCE,resemblance,Phenotypic resemblance,,,1.1
evidence_dimension,TERM:EVIDENCE_DIMENSION:MODEL_IDENTITY,model_identity,Model identity,,,1.1
evidence_dimension,TERM:EVIDENCE_DIMENSION:RECEIVER_IDENTITY,receiver_identity,Receiver identity,,,1.1
evidence_dimension,TERM:EVIDENCE_DIMENSION:RECEIVER_PERCEPTION,receiver_perception,Receiver perception,,,1.1
evidence_dimension,TERM:EVIDENCE_DIMENSION:RECEIVER_RESPONSE,receiver_response,Receiver response,,,1.1
evidence_dimension,TERM:EVIDENCE_DIMENSION:FITNESS_CONSEQUENCE,fitness_consequence,Fitness consequence,,,1.1
evidence_dimension,TERM:EVIDENCE_DIMENSION:GEOGRAPHIC_OVERLAP,geographic_overlap,Geographic overlap / sympatry,,,1.1
evidence_dimension,TERM:EVIDENCE_DIMENSION:TEMPORAL_OVERLAP,temporal_overlap,Temporal overlap,,,1.1
evidence_dimension,TERM:EVIDENCE_DIMENSION:MECHANISM,mechanism,Mechanism,,,1.1
evidence_dimension,TERM:EVIDENCE_DIMENSION:SIGNAL_CHARACTERIZATION,signal_characterization,Signal characterization,,,1.1
support_direction,TERM:SUPPORT_DIRECTION:SUPPORTS,supports,Supports the claim,,,1.1
support_direction,TERM:SUPPORT_DIRECTION:CONTRADICTS,contradicts,Contradicts the claim,,,1.1
support_direction,TERM:SUPPORT_DIRECTION:MIXED,mixed,Mixed evidence,,,1.1
support_direction,TERM:SUPPORT_DIRECTION:UNCERTAIN,uncertain,Uncertain / inconclusive,,,1.1
system_type,TERM:SYSTEM_TYPE:RING,ring,Müllerian ring / multi-species ring,,,1.1
system_type,TERM:SYSTEM_TYPE:COMPLEX,complex,Species complex centred on one lineage,,,1.1
system_type,TERM:SYSTEM_TYPE:POLYMORPHIC,polymorphic,Polymorphic mimicry system,,,1.1
system_type,TERM:SYSTEM_TYPE:SERIES,series,Hierarchical series of models,,,1.1
system_type,TERM:SYSTEM_TYPE:OTHER,other,Other grouping,,,1.1
model_resolution,TERM:MODEL_RESOLUTION:SPECIES,species,Resolved to species,,,1.1
model_resolution,TERM:MODEL_RESOLUTION:GENUS,genus,Resolved to genus,,,1.1
model_resolution,TERM:MODEL_RESOLUTION:FAMILY,family,Resolved to family,,,1.1
model_resolution,TERM:MODEL_RESOLUTION:HIGHER_TAXON,higher_taxon,Higher taxon only,,,1.1
model_resolution,TERM:MODEL_RESOLUTION:FUNCTIONAL_GROUP,functional_group,Functional group,,,1.1
model_resolution,TERM:MODEL_RESOLUTION:OBJECT,object,Inanimate object,,,1.1
model_resolution,TERM:MODEL_RESOLUTION:SIGNAL,signal,Signal only (not the signal-bearer),,,1.1
model_resolution,TERM:MODEL_RESOLUTION:UNKNOWN,unknown,Unknown,,,1.1
